Id,name,company,location,position,type
ExAwIn,ExzellenzAwardfuerInvestigativeRecherche,AxelSpringerPreis,,,preis
FaBr,FranziskaBroich,,,EUKorrespondentin,person
FAU,FriedrichAlexanderUniversitaet,,Nuernberg,,education
FAZ,FrankfurterAllgemeineZeitung,FrankfurterAllgemeineZeitungGmbH,Frankfurt,,employment
FEJS,ForumForEuropeanJournalismStudents,,,,engagement
FiUnBa,FilmuniversitaetBabelsbergKonradWolf,,Babelsberg,,education
FIVP,FriedrichundIsabelVogelPreis,FriedrichIsabelVogelStiftung,Essen,Wirtschaftsjournalismus,preis
FJS,FreieJournalistenSchule,,Berlin,,education
FoMa,FocusMagazin,FocusMagazin,Berlin,,employment
Fora,ForaNetworkforChange,,Toronto,,engagement
FrGr,FranziskaGrillmeier,DieZeit,Hamburg,FreieJournalistin,person
FrInSyInRe,FraunhoferInstituteforSystemsandInnovationResearchISI,,Karlsruhe,,education
FrIPA,FraunhoferIPA,,Mannheim,,education
FrJo,FreieJournalistin,,,,employment
FrKe,FranziVonKempis,,Berlin,Redakteurin,person
FrKl,FranziskaKlemenz,Saechsischde,Dresden,Reporterin,person
FrSc,Freischreiber,,Hamburg,,employment
FrUnBe,FreieUniversitaetBerlin,,Berlin,,education
FuAs,FunkhausAschaffenburg,,Aschaffenburg,,employment
FuMe,FunkeMediengruppe,FunkeMediengruppe,Berlin,,employment
Funk,funkContentNetzwerkvonARDundZDF,,Mainz,,employment
FVP,FriedrichVogelPreis,WirtschaftsWoche,Berlin,,preis
GeEmLo,GermanEmbassyLondon,,London,,employment
GeHoPr,GeorgvonHoltzbrinckPreisfuerWirtschaftsjournalismus,VerlagsgruppeGeorgvonHoltzbrinck,,,preis
GiFo,GioiaForster,DPA,,Volontärin,person
